"sequence","Network_annotation","EggNOG_annotation"
"isogroup14941","isogroup14941|midnightblue kME=0.4|Associations:(R2=+0.42) mean meandering in response to visual stimulus; (R2=-0.32) time between assay and RNA collection.",NA
"isogroup14948","isogroup14948|cyan kME=0.42|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.",NA
"isogroup14951","isogroup14951|blue kME=0.35|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup14952","isogroup14952|brown kME=0.33|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","COMM domain containing 7"
"isogroup14959","isogroup14959|darkorange kME=0.34|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup14966","isogroup14966|darkred kME=0.45|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","LRRNT"
"isogroup14967","isogroup14967|blue kME=0.31|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","tRNA splicing endonuclease 34 homolog (S. cerevisiae)"
"isogroup14982","isogroup14982|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","RAB19, member RAS oncogene family"
"isogroup14983","isogroup14983|darkred kME=0.41|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14986","isogroup14986|darkred kME=0.38|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14990","isogroup14990|greenyellow kME=0.6|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"isogroup14991","isogroup14991|cyan kME=0.57|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.",NA
"isogroup14993","isogroup14993|green kME=0.65|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","SEC61, gamma subunit"
"isogroup14996","isogroup14996|cyan kME=0.43|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","jun proto-oncogene"
"isogroup14998","isogroup14998|darkorange kME=0.53|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","isocitrate dehydrogenase 2 (NADP ), mitochondrial"
"isogroup15001","isogroup15001|brown kME=0.43|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup15003","isogroup15003|blue kME=0.44|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup15009","isogroup15009|darkred kME=0.62|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup15012","isogroup15012|brown kME=0.42|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","heparan-alpha-glucosaminide N-acetyltransferase"
"isogroup15015","isogroup15015|blue kME=0.44|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","coiled-coil domain containing 58"
"isogroup15021","isogroup15021|green kME=0.4|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Parvalbumin"
"isogroup15037","isogroup15037|green kME=0.47|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup15039","isogroup15039|green kME=0.56|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup15048","isogroup15048|cyan kME=0.51|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","heparin-binding EGF-like growth factor"
"isogroup15056","isogroup15056|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup15057","isogroup15057|brown kME=0.36|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup15058","isogroup15058|blue kME=0.58|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)"
"isogroup15067","isogroup15067|darkorange kME=0.29|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup15072","isogroup15072|lightcyan1 kME=0.44|Associations:(R2=+0.28) response latency; (R2=+0.35) mean meandering in response to visual stimulus.","CASc"
"isogroup15074","isogroup15074|green kME=0.38|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup15078","isogroup15078|black kME=0.33|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup15082","isogroup15082|blue kME=0.46|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","peroxiredoxin 6"
"isogroup15083","isogroup15083|green kME=0.41|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Trafficking protein particle complex 4"
"isogroup15085","isogroup15085|darkorange kME=0.46|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","SECIS binding protein 2-like"
"isogroup15088","isogroup15088|darkorange kME=0.33|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup151","isogroup151|darkred kME=0.32|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","TDU"
"isogroup15106","isogroup15106|blue kME=0.33|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup15109","isogroup15109|darkgreen kME=0.57|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","Proteasome (Prosome, macropain) assembly chaperone 3"
"isogroup15111","isogroup15111|red kME=0.37|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","C2 domain"
"isogroup15120","isogroup15120|darkred kME=0.49|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup15124","isogroup15124|darkred kME=0.27|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","ATPase, H transporting, lysosomal 70kDa, V1 subunit A"
"isogroup15126","isogroup15126|blue kME=0.28|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup15128","isogroup15128|darkorange kME=0.28|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup15129","isogroup15129|brown kME=0.48|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Tax1 (human T-cell leukemia virus type I) binding protein"
"isogroup15133","isogroup15133|blue kME=0.28|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup15139","isogroup15139|blue kME=0.65|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup15140","isogroup15140|blue kME=0.29|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","methyltransferase like 2A"
"isogroup15141","isogroup15141|skyblue kME=0.36|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup15144","isogroup15144|black kME=0.59|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","heat shock protein 90kDa alpha (cytosolic), class A member 1"
"isogroup15145","isogroup15145|darkred kME=0.3|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup15150","isogroup15150|skyblue kME=0.52|Associations:(R2=-0.38) response duration to acoustic stimulus.","Sulfotransferase domain"
"isogroup15155","isogroup15155|darkorange kME=0.36|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","neuroblastoma, suppression of tumorigenicity 1"
"isogroup15168","isogroup15168|darkorange kME=0.3|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup15172","isogroup15172|brown kME=0.37|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Ankyrin repeat domain 32"
"isogroup15173","isogroup15173|greenyellow kME=0.37|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"isogroup15178","isogroup15178|darkgreen kME=0.39|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","REST corepressor 1"
"isogroup15179","isogroup15179|brown kME=0.51|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","C1q domain"
"isogroup15184","isogroup15184|cyan kME=0.68|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","Zinc finger, C2H2 type"
"isogroup15187","isogroup15187|blue kME=0.56|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","leucine aminopeptidase 3"
"isogroup15188","isogroup15188|brown kME=0.46|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup15198","isogroup15198|black kME=0.44|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
