"","sequence","NI_annotation","EggNOG_annotation"
"1","isogroup10","isogroup10|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"1714","isogroup18930","isogroup18930|saddlebrown kME=0.58|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.","serpin peptidase inhibitor, clade C (antithrombin), member 1"
"1715","isogroup18934","isogroup18934|red kME=0.66|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"1716","isogroup18935","isogroup18935|darkorange kME=0.47|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"1717","isogroup18939","isogroup18939|brown kME=0.39|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Peptide methionine sulfoxide reductase"
"1718","isogroup18945","isogroup18945|blue kME=0.53|Associations:(R2=+0.49) response latency.","protein (peptidylprolyl cis trans isomerase) NIMA-interacting, 4 (parvulin)"
"1719","isogroup18946","isogroup18946|red kME=0.73|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","alanyl (membrane) aminopeptidase"
"1720","isogroup18950","isogroup18950|blue kME=0.68|Associations:(R2=+0.49) response latency.","adenine nucleotide translocator"
"1721","isogroup18956","isogroup18956|brown kME=0.35|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","nuclear receptor coactivator 4"
"1722","isogroup18966","isogroup18966|cyan kME=0.54|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","Sp9 transcription factor homolog (mouse)"
"1723","isogroup18972","isogroup18972|greenyellow kME=0.4|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"1724","isogroup18973","isogroup18973|midnightblue kME=0.58|Associations:(R2=+0.42) mean meandering in response to visual stimulus.","Lipase, hepatic"
"1725","isogroup18974","isogroup18974|midnightblue kME=0.36|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"1726","isogroup18975","isogroup18975|plum1 kME=0.51|Associations:(R2=-0.28) time to max speed in response to acoustic stimulus.","matrix Gla protein"
"1727","isogroup18976","isogroup18976|green kME=0.33|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","WD repeat domain 91"
"1728","isogroup1898","isogroup1898|darkred kME=0.53|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1729","isogroup18980","isogroup18980|greenyellow kME=0.47|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"1730","isogroup18982","isogroup18982|greenyellow kME=0.42|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"1731","isogroup18983","isogroup18983|darkgreen kME=0.44|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","neuronal cell adhesion molecule"
"1732","isogroup18986","isogroup18986|blue kME=0.55|Associations:(R2=+0.49) response latency.","Zinc finger protein"
"1733","isogroup18987","isogroup18987|blue kME=0.61|Associations:(R2=+0.49) response latency.",NA
"1734","isogroup18990","isogroup18990|greenyellow kME=0.65|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","ATPase, Na K transporting, alpha 3 polypeptide"
"1735","isogroup18992","isogroup18992|saddlebrown kME=0.48|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.",NA
"1736","isogroup18995","isogroup18995|darkgreen kME=0.4|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","family with sequence similarity 13, member A"
"1737","isogroup19000","isogroup19000|darkred kME=0.34|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1738","isogroup19007","isogroup19007|darkred kME=0.29|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","ubiquitin specific peptidase 48"
"1739","isogroup19008","isogroup19008|blue kME=0.33|Associations:(R2=+0.49) response latency.","ras homolog family member C"
"1740","isogroup1901","isogroup1901|lightcyan1 kME=0.65|Associations:(R2=+0.28) response latency; (R2=+0.35) mean meandering in response to visual stimulus.",NA
"1741","isogroup19010","isogroup19010|red kME=0.54|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","isocitrate dehydrogenase 1 (NADP ), soluble"
"1742","isogroup19011","isogroup19011|darkred kME=0.33|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1743","isogroup19041","isogroup19041|greenyellow kME=0.81|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","Guanidinoacetate N-methyltransferase"
"1744","isogroup1905","isogroup1905|black kME=0.48|Associations:(R2=+0.29) mean speed in response to visual stimulus.","WD repeat domain 18"
"1745","isogroup19050","isogroup19050|darkred kME=0.53|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","ADAM metallopeptidase domain 11"
"1746","isogroup19053","isogroup19053|red kME=0.54|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","cysteine dioxygenase, type I"
"1747","isogroup19055","isogroup19055|brown kME=0.62|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","zinc finger, AN1-type domain 2A"
"1748","isogroup1906","isogroup1906|blue kME=0.63|Associations:(R2=+0.49) response latency.",NA
"1749","isogroup1907","isogroup1907|brown kME=0.31|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","coactosin-like 1 (Dictyostelium)"
"1750","isogroup19076","isogroup19076|darkred kME=0.43|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1751","isogroup19082","isogroup19082|brown kME=0.45|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","poly(A) binding protein interacting protein 2"
"1752","isogroup19095","isogroup19095|darkgreen kME=0.51|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","cell division cycle 37 homolog (S. cerevisiae)"
"1753","isogroup19098","isogroup19098|greenyellow kME=0.4|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"1754","isogroup1910","isogroup1910|cyan kME=0.57|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.",NA
"1755","isogroup19104","isogroup19104|darkred kME=0.47|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1756","isogroup19105","isogroup19105|cyan kME=0.49|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","prostaglandin I2 (prostacyclin) synthase"
"1757","isogroup19109","isogroup19109|red kME=0.78|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","Chitin binding Peritrophin-A domain"
"1758","isogroup1911","isogroup1911|green kME=0.49|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","malignant T cell amplified sequence 1"
"1759","isogroup19110","isogroup19110|darkorange kME=0.66|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","coiled-coil domain containing 12"
"1760","isogroup19111","isogroup19111|darkred kME=0.28|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","bromodomain and PHD finger containing, 3"
"1761","isogroup19113","isogroup19113|blue kME=0.29|Associations:(R2=+0.49) response latency.","Dipeptidyl peptidase IV (DPP IV) N-terminal region"
"1762","isogroup19114","isogroup19114|darkgreen kME=0.79|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","myosin, heavy chain"
"1763","isogroup19118","isogroup19118|blue kME=0.46|Associations:(R2=+0.49) response latency.","troponin I type 1 (skeletal, slow)"
"1764","isogroup1912","isogroup1912|greenyellow kME=0.45|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","SPEG complex locus"
"1765","isogroup19124","isogroup19124|saddlebrown kME=0.58|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.","Tropomyosin"
"1766","isogroup19125","isogroup19125|darkgrey kME=0.44|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.","Adaptor-related protein complex 1, sigma 3 subunit"
"1767","isogroup19131","isogroup19131|blue kME=0.35|Associations:(R2=+0.49) response latency.",NA
"1768","isogroup19148","isogroup19148|darkorange kME=0.52|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"1769","isogroup19153","isogroup19153|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1770","isogroup19166","isogroup19166|darkred kME=0.29|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1771","isogroup19186","isogroup19186|midnightblue kME=0.36|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"1772","isogroup19193","isogroup19193|skyblue kME=0.45|Associations:(R2=-0.38) response duration to acoustic stimulus.","latrophilin 3"
"1773","isogroup192","isogroup192|darkorange kME=0.35|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"1774","isogroup1920","isogroup1920|darkred kME=0.35|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1775","isogroup19203","isogroup19203|darkred kME=0.35|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1776","isogroup19205","isogroup19205|darkorange kME=0.36|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"1777","isogroup19212","isogroup19212|darkorange kME=0.28|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"1778","isogroup19215","isogroup19215|darkorange kME=0.29|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
